matchId,team,odds,prob_with_vig,prob
3854561,England,1.45,0.6896551724137931,0.6550984597387405
3854561,Draw,4.2,0.23809523809523808,0.22616494443361276
3854561,USA,8,0.125,0.1187365958276467
3854582,Tunisia,2.15,0.46511627906976744,0.4446939921392476
3854582,Draw,3.3,0.30303030303030304,0.28972487366647953
3854582,Australia,3.6,0.2777777777777778,0.26558113419427287
3854575,Poland,1.7,0.5882352941176471,0.556783031374282
3854575,Draw,3.6,0.2777777777777778,0.2629253203711887
3854575,Saudi Arabia,5.25,0.19047619047619047,0.18029164825452937
3854581,France,1.8,0.5555555555555556,0.5263157894736842
3854581,Draw,3.6,0.2777777777777778,0.2631578947368421
3854581,Denmark,4.5,0.2222222222222222,0.21052631578947367
3854574,Argentina,1.6,0.625,0.5977927651747396
3854574,Draw,3.75,0.26666666666666666,0.25505824647455555
3854574,Mexico,6.5,0.15384615384615385,0.1471489883507051
3854588,Japan,1.45,0.6896551724137931,0.6543619089837492
3854588,Draw,4.33,0.23094688221709006,0.21912812194605918
3854588,Costa Rica,7.5,0.13333333333333333,0.12650996907019152
3854593,Belgium,1.9,0.5263157894736842,0.5011933174224343
3854593,Draw,3.5,0.2857142857142857,0.2720763723150358
3854593,Morocco,4.2,0.23809523809523808,0.22673031026252982
3854594,Croatia,2.25,0.4444444444444444,0.4282352941176471
3854594,Draw,3.25,0.3076923076923077,0.29647058823529415
3854594,Canada,3.5,0.2857142857142857,0.27529411764705886
3854587,Spain,2.5,0.4,0.38118811881188125
3854587,Draw,3.5,0.2857142857142857,0.2722772277227723
3854587,Germany,2.75,0.36363636363636365,0.34653465346534656
3854600,Cameroon,5.25,0.19047619047619047,0.1803677122351528
3854600,Draw,3.8,0.2631578947368421,0.24919223400909268
3854600,Serbia,1.66,0.6024096385542169,0.5704400537557545
3854606,South Korea,2.75,0.36363636363636365,0.3463687150837989
3854606,Draw,3.1,0.3225806451612903,0.30726256983240224
3854606,Ghana,2.75,0.36363636363636365,0.3463687150837989
3854599,Brazil,1.5,0.6666666666666666,0.6422018348623854
3854599,Draw,4.2,0.23809523809523808,0.22935779816513763
3854599,Switzerland,7.5,0.13333333333333333,0.12844036697247707
3854605,Portugal,1.9,0.5263157894736842,0.5005055611729018
3854605,Draw,3.3,0.30303030303030304,0.28816986855409504
3854605,Uruguay,4.5,0.2222222222222222,0.211324570273003
3854558,Ecuador,2.4,0.4166666666666667,0.40321346595256313
3854558,Draw,3.1,0.3225806451612903,0.31216526396327465
3854558,Senegal,3.4,0.29411764705882354,0.2846212700841622
3854557,Netherlands,1.18,0.8474576271186441,0.8017715332926084
3854557,Draw,7,0.14285714285714285,0.13515577275503968
3854557,Qatar,15,0.06666666666666667,0.06307269395235185
3854564,Iran,4.2,0.23809523809523808,0.22493036211699163
3854564,Draw,3.4,0.29411764705882354,0.27785515320334264
3854564,USA,1.9,0.5263157894736842,0.4972144846796657
3854563,Wales,8.5,0.11764705882352941,0.11202489442098246
3854563,Draw,4.2,0.23809523809523808,0.22671704823294067
3854563,England,1.44,0.6944444444444444,0.661258057346077
3854584,Australia,7,0.14285714285714285,0.13513513513513511
3854584,Draw,5,0.2,0.1891891891891892
3854584,Denmark,1.4,0.7142857142857143,0.6756756756756757
3854583,Tunisia,5.75,0.17391304347826086,0.16434970651838124
3854583,Draw,3.8,0.2631578947368421,0.2486870559159716
3854583,France,1.61,0.6211180124223602,0.5869632375656473
3854576,Poland,8.5,0.11764705882352941,0.11160318866253321
3854576,Draw,4.5,0.2222222222222222,0.21080602302922938
3854576,Argentina,1.4,0.7142857142857143,0.6775907883082374
3854577,Saudi Arabia,5.5,0.18181818181818182,0.1720368389470114
3854577,Draw,4.2,0.23809523809523808,0.22528633671632445
3854577,Mexico,1.57,0.6369426751592356,0.6026768243366641
3854596,Canada,4.75,0.21052631578947367,0.20029293888522268
3854596,Draw,3.4,0.29411764705882354,0.2798210175602376
3854596,Morocco,1.83,0.5464480874316939,0.5198860435545397
3854595,Croatia,3,0.3333333333333333,0.3176442762535478
3854595,Draw,3.4,0.29411764705882354,0.28027436140018924
3854595,Belgium,2.37,0.42194092827004215,0.40208136234626296
3854590,Costa Rica,26,0.038461538461538464,0.03644618971652964
3854590,Draw,11,0.09090909090909091,0.08614553932997915
3854590,Germany,1.08,0.9259259259259258,0.8774082709534912
3854589,Japan,6.5,0.15384615384615385,0.14631673800405498
3854589,Draw,4.33,0.23094688221709006,0.2196440639783735
3854589,Spain,1.5,0.6666666666666666,0.6340391980175715
3854608,Ghana,4.5,0.2222222222222222,0.2102766798418972
3854608,Draw,3.8,0.2631578947368421,0.24901185770750986
3854608,Uruguay,1.75,0.5714285714285714,0.5407114624505929
3854607,South Korea,4,0.25,0.23647209203238181
3854607,Draw,3.75,0.26666666666666666,0.2522368981678739
3854607,Portugal,1.85,0.5405405405405405,0.5112910097997444
3854601,Cameroon,11,0.09090909090909091,0.08652931854199683
3854601,Draw,5.25,0.19047619047619047,0.18129952456418383
3854601,Brazil,1.3,0.7692307692307692,0.7321711568938192
3854602,Serbia,2.55,0.3921568627450981,0.37265577737447064
3854602,Draw,3.3,0.30303030303030304,0.2879612825166364
3854602,Switzerland,2.8,0.35714285714285715,0.33938294010889286
3370550,Netherlands,1.9,0.5263157894736842,0.4963871326339192
3370550,Draw,3.3,0.30303030303030304,0.28579865212255956
3370550,USA,4.33,0.23094688221709006,0.21781421524352113
3370551,Argentina,1.28,0.78125,0.7377049180327869
3370551,Draw,6,0.16666666666666666,0.15737704918032788
3370551,Australia,9,0.1111111111111111,0.10491803278688525
3370552,France,1.36,0.7352941176470588,0.6956875508543532
3370552,Draw,4.75,0.21052631578947367,0.19918633034987795
3370552,Poland,9,0.1111111111111111,0.10512611879576893
3370553,England,1.6,0.625,0.5915065722952477
3370553,Draw,3.6,0.2777777777777778,0.262891809908999
3370553,Senegal,6.5,0.15384615384615385,0.14560161779575329
3370555,Japan,3.8,0.2631578947368421,0.24857755806361348
3370555,Draw,3.25,0.3076923076923077,0.290644529428225
3370555,Croatia,2.05,0.48780487804878053,0.46077791250816164
3370554,Brazil,1.2,0.8333333333333334,0.783132530120482
3370554,Draw,6.5,0.15384615384615385,0.14457831325301207
3370554,South Korea,13,0.07692307692307693,0.07228915662650603
3370556,Morocco,7.5,0.13333333333333333,0.1269737273144205
3370556,Draw,3.8,0.2631578947368421,0.2506060407521457
3370556,Spain,1.53,0.6535947712418301,0.6224202319334338
3370557,Portugal,1.9,0.5263157894736842,0.5005950559352579
3370557,Draw,3.4,0.29411764705882354,0.2797442959638206
3370557,Switzerland,4.33,0.23094688221709006,0.21966064810092148
3370565,Croatia,8.5,0.11764705882352941,0.11160318866253321
3370565,Draw,4.5,0.2222222222222222,0.21080602302922938
3370565,Brazil,1.4,0.7142857142857143,0.6775907883082374
3370566,Netherlands,3.6,0.2777777777777778,0.2633204633204633
3370566,Draw,3.1,0.3225806451612903,0.30579150579150577
3370566,Argentina,2.2,0.45454545454545453,0.43088803088803085
3370567,Morocco,6.5,0.15384615384615385,0.14597147121430845
3370567,Draw,3.8,0.2631578947368421,0.24968804286658022
3370567,Portugal,1.57,0.6369426751592356,0.6043404859191114
3370568,England,2.75,0.36363636363636365,0.34416118421052627
3370568,Draw,3.1,0.3225806451612903,0.30530427631578944
3370568,France,2.7,0.37037037037037035,0.3505345394736841
3370569,Argentina,1.85,0.5405405405405405,0.5179720609009574
3370569,Draw,3.3,0.30303030303030304,0.2903782765656883
3370569,Croatia,5,0.2,0.19164966253335428
3370570,France,1.55,0.6451612903225806,0.6150206978119456
3370570,Draw,4,0.25,0.23832052040212892
3370570,Morocco,6.5,0.15384615384615385,0.1466587817859255
3370571,Croatia,2.2,0.45454545454545453,0.42767047694126925
3370571,Draw,3.5,0.2857142857142857,0.2688214426487978
3370571,Morocco,3.1,0.3225806451612903,0.30350808040993305
3370572,Argentina,2.7,0.37037037037037035,0.3560660445082555
3370572,Draw,3.1,0.3225806451612903,0.3101220387652548
3370572,France,2.88,0.3472222222222222,0.3338119167264895
