long_name,short_name,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_name,league_name,club_position,nationality_name,nation_position,skill_moves,international_reputation,work_rate,player_tags,shooting,passing,dribbling,defending,physic,attacking_crossing,skill_ball_control,movement_sprint_speed,movement_agility,movement_reactions,power_stamina,power_strength,mentality_aggression,goalkeeping_diving,goalkeeping_reflexes
Gianluigi Donnarumma,G. Donnarumma,GK,89,93,119500000,110000,22,196,90,Paris Saint-Germain,French Ligue 1,GK,Italy,GK,1,3,Medium/Medium,,NA,NA,NA,NA,NA,12,30,55,64,85,34,72,30,91,90
Sergio Ramos García,Sergio Ramos,CB,88,88,24000000,115000,35,184,82,Paris Saint-Germain,French Ligue 1,LCB,Spain,SUB,3,4,High/Medium,"#Aerial Threat, #Tackling, #Tactician, #Complete Defender",70,76,74,88,84,66,83,69,77,92,78,84,90,11,11
Luis Alberto Suárez Díaz,L. Suárez,ST,88,88,44500000,135000,34,182,83,Atlético de Madrid,Spain Primera Division,RS,Uruguay,,3,5,High/Medium,"#Distance Shooter, #Clinical Finisher",90,82,84,47,83,80,86,69,75,92,78,85,87,27,37
Toni Kroos,T. Kroos,CM,88,88,75000000,310000,31,183,76,Real Madrid CF,Spain Primera Division,LCM,Germany,,3,4,Medium/Medium,"#Playmaker, #Distance Shooter, #Crosser, #Complete Midfielder",81,91,81,71,68,88,88,52,63,90,75,72,60,10,10
Romelu Lukaku Menama,R. Lukaku,ST,88,88,93500000,260000,28,191,94,Chelsea,English Premier League,ST,Belgium,ST,3,4,Medium/Medium,"#Poacher, #Strength, #Complete Forward",87,74,78,39,83,73,77,87,60,91,71,95,71,8,10
Keylor Navas Gamboa,K. Navas,GK,88,88,15500000,130000,34,185,80,Paris Saint-Germain,French Ligue 1,SUB,Costa Rica,,1,3,Medium/Medium,,NA,NA,NA,NA,NA,11,30,53,60,85,39,75,32,89,89
Raheem Sterling,R. Sterling,"LW, RW",88,89,107500000,290000,26,170,69,Manchester City,English Premier League,SUB,England,LW,4,4,High/Medium,"#Speedster, #Dribbler, #Acrobat",82,79,87,45,66,79,86,88,94,90,79,64,59,15,9
Bruno Miguel Borges Fernandes,Bruno Fernandes,CAM,88,89,107500000,250000,26,179,69,Manchester United,English Premier League,CAM,Portugal,LCM,4,3,High/High,"#Playmaker, #Engine, #Distance Shooter, #Crosser, #FK Specialist, #Complete Midfielder",86,89,84,70,77,87,87,73,80,91,91,70,78,12,14
Erling Braut Haaland,E. Haaland,ST,88,93,137500000,110000,20,194,94,Borussia Dortmund,German 1. Bundesliga,RS,Norway,LS,3,4,High/High,"#Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward",91,65,80,45,88,47,85,94,75,88,82,93,85,7,7
Sergio Leonel Agüero del Castillo,S. Agüero,ST,87,87,51000000,260000,33,173,70,FC Barcelona,Spain Primera Division,ST,Argentina,SUB,4,4,High/Medium,"#Dribbler, #Clinical Finisher, #Complete Forward",89,75,87,33,69,70,88,68,82,89,62,74,65,13,14
Hugo Lloris,H. Lloris,GK,87,87,13500000,125000,34,188,82,Tottenham Hotspur,English Premier League,GK,France,GK,1,4,Medium/Medium,,NA,NA,NA,NA,NA,13,34,62,55,85,41,43,31,88,90
Luka Modrić,L. Modrić,CM,87,87,32000000,190000,35,172,66,Real Madrid CF,Spain Primera Division,RCM,Croatia,,4,4,Medium/Medium,"#Playmaker, #Crosser, #Acrobat, #Complete Midfielder",76,89,88,72,66,86,90,70,91,88,83,58,62,13,9
Ángel Fabián Di María Hernández,Á. Di María,"RW, LW",87,87,49500000,160000,33,180,69,Paris Saint-Germain,French Ligue 1,SUB,Argentina,LW,5,4,High/Medium,"#Dribbler, #Crosser, #FK Specialist, #Acrobat",81,86,87,48,69,88,87,83,94,84,78,62,73,10,11
Wojciech Tomasz Szczęsny,W. Szczęsny,GK,87,87,42000000,105000,31,195,90,Juventus,Italian Serie A,GK,Poland,GK,1,3,Medium/Medium,,NA,NA,NA,NA,NA,12,22,47,55,82,45,65,40,86,88
Thomas Müller,T. Müller,"CAM, RM, RW",87,87,66000000,140000,31,185,76,FC Bayern München,German 1. Bundesliga,CAM,Germany,,3,4,High/High,"#Engine, #Clinical Finisher",84,83,80,56,71,85,84,67,73,94,86,66,62,6,14
Ciro Immobile,C. Immobile,ST,87,87,67500000,125000,31,185,85,Lazio,Italian Serie A,ST,Italy,ST,3,4,High/Medium,#Clinical Finisher,87,67,81,39,77,55,83,87,75,90,78,76,77,6,6
Paul Pogba,P. Pogba,"CM, LM",87,87,79500000,220000,28,191,84,Manchester United,English Premier League,RDM,France,RCM,5,4,High/Medium,"#Dribbler, #Playmaker, #Distance Shooter, #Strength, #Complete Midfielder",81,86,86,65,83,77,90,77,73,83,77,89,78,5,3
Marco Verratti,M. Verratti,"CM, CAM",87,87,79500000,155000,28,165,60,Paris Saint-Germain,French Ligue 1,LCM,Italy,LCM,4,3,Medium/High,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder",61,87,91,79,67,82,92,60,91,87,76,54,89,12,10
Marcos Aoás Corrêa,Marquinhos,"CB, CDM",87,90,90500000,135000,27,183,75,Paris Saint-Germain,French Ligue 1,RCB,Brazil,,3,3,Medium/High,"#Tackling, #Tactician ",53,75,74,89,81,68,79,81,69,87,83,78,81,6,13
Leon Christoph Goretzka,L. Goretzka,"CM, CDM",87,88,93000000,140000,26,189,82,FC Bayern München,German 1. Bundesliga,LDM,Germany,LDM,3,4,High/Medium,#Tactician ,82,82,84,81,86,75,87,83,76,88,88,88,81,13,9
Paulo Bruno Exequiel Dybala,P. Dybala,"CF, CAM",87,88,93000000,160000,27,177,75,Juventus,Italian Serie A,CAM,Argentina,SUB,4,3,Medium/Medium,"#Dribbler, #Playmaker, #FK Specialist, #Acrobat, #Complete Midfielder",86,86,90,40,60,82,93,80,92,80,70,61,43,5,8
Andrew Robertson,A. Robertson,LB,87,88,83500000,175000,27,178,64,Liverpool,English Premier League,LB,Scotland,LWB,3,3,High/High,"#Engine, #Crosser",61,81,81,82,76,88,83,85,78,85,95,65,85,11,14
Frenkie de Jong,F. de Jong,"CM, CDM, CB",87,92,119500000,210000,24,180,74,FC Barcelona,Spain Primera Division,RCM,Netherlands,CDM,4,3,High/Medium,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder",69,85,88,77,78,78,89,82,88,88,90,74,75,7,9
Trent Alexander-Arnold,T. Alexander-Arnold,RB,87,92,114000000,150000,22,180,69,Liverpool,English Premier League,RB,England,SUB,3,3,High/Medium,#Crosser,68,88,80,80,72,92,86,80,73,82,88,63,74,14,7
Jadon Sancho,J. Sancho,"RM, CF, LM",87,91,116500000,150000,21,180,76,Manchester United,English Premier League,LM,England,SUB,5,3,High/Medium,"#Dribbler, #Acrobat",76,82,91,36,65,82,90,78,91,85,77,68,44,7,13
Rúben dos Santos Gato Alves Dias,Rúben Dias,CB,87,91,102500000,170000,24,187,82,Manchester City,English Premier League,RCB,Portugal,LCB,2,3,Medium/High,#Tackling ,38,65,68,88,88,54,74,65,59,87,88,88,92,7,12
Giorgio Chiellini,G. Chiellini,CB,86,86,12000000,88000,36,187,85,Juventus,Italian Serie A,SUB,Italy,LCB,2,4,Medium/High,"#Tackling, #Tactician, #Strength, #Complete Defender",46,60,59,89,85,63,57,69,53,80,71,91,88,3,3
Samir Handanovič,S. Handanovič,GK,86,86,7500000,78000,36,193,92,Inter,Italian Serie A,GK,Slovenia,,1,3,Medium/Medium,,NA,NA,NA,NA,NA,12,21,50,47,79,41,69,25,81,87
Mats Hummels,M. Hummels,CB,86,86,44000000,95000,32,191,96,Borussia Dortmund,German 1. Bundesliga,LCB,Germany,,3,4,High/High,"#Tackling, #Tactician, #Strength, #Complete Defender",59,77,73,89,77,65,79,64,61,88,66,86,71,15,6
Jordi Alba Ramos,Jordi Alba,"LB, LM",86,86,47000000,200000,32,170,68,FC Barcelona,Spain Primera Division,LB,Spain,LB,3,3,High/Medium,#Acrobat,69,81,83,77,71,85,85,86,90,80,87,61,75,13,13
Thiago Alcântara do Nascimento,Thiago,"CM, CDM",86,86,65000000,180000,30,174,70,Liverpool,English Premier League,LCM,Spain,SUB,5,3,Medium/Medium,"#Dribbler, #Acrobat",72,86,90,70,66,78,92,55,91,84,74,59,72,6,13
Sergio Busquets i Burgos,Sergio Busquets,"CDM, CM",86,86,45000000,200000,32,189,76,FC Barcelona,Spain Primera Division,CDM,Spain,CDM,3,4,Medium/Medium,,62,79,80,82,75,62,86,43,67,86,78,72,81,5,13
Daniel Parejo Muñoz,Parejo,CM,86,86,53500000,64000,32,182,74,Villarreal CF,Spain Primera Division,LCM,Spain,,3,2,Medium/Medium,"#Playmaker, #Crosser, #FK Specialist, #Complete Midfielder",83,90,81,71,69,86,86,49,63,80,78,70,58,5,8
Koen Casteels,K. Casteels,GK,86,87,52000000,88000,29,197,86,VfL Wolfsburg,German 1. Bundesliga,GK,Belgium,,1,3,Medium/Medium,,NA,NA,NA,NA,NA,15,23,46,50,83,44,72,33,85,87
Lorenzo Insigne,L. Insigne,"LW, CF",86,86,65500000,125000,30,163,59,Napoli,Italian Serie A,LW,Italy,LW,4,4,High/Medium,"#Dribbler, #FK Specialist",78,85,90,36,45,77,93,84,89,79,74,34,34,8,10
Kalidou Koulibaly,K. Koulibaly,CB,86,86,55500000,105000,30,187,89,Napoli,Italian Serie A,LCB,Senegal,,2,3,Medium/High,"#Tackling, #Strength",28,51,65,87,85,30,64,87,51,83,70,94,83,7,5
Raphaël Varane,R. Varane,CB,86,88,68500000,180000,28,191,81,Manchester United,English Premier League,RCB,France,RCB,2,3,Medium/High,#Tackling ,49,64,65,87,82,42,78,85,62,84,76,86,80,11,14
Riyad Mahrez,R. Mahrez,"RW, RM",86,86,65500000,220000,30,179,67,Manchester City,English Premier League,RW,Algeria,,5,3,Medium/Medium,"#Dribbler, #Acrobat",79,81,90,38,60,81,91,79,92,81,75,57,48,15,6
Gerard Moreno Balagueró,Gerard Moreno,"ST, RM, RW",86,86,68000000,73000,29,180,77,Villarreal CF,Spain Primera Division,RS,Spain,ST,3,2,High/Medium,#Clinical Finisher,86,77,84,46,73,77,85,78,77,89,79,75,61,15,10
Jamie Vardy,J. Vardy,ST,86,86,33000000,180000,34,179,74,Leicester City,English Premier League,ST,England,,3,3,High/Medium,,84,70,80,52,73,69,82,85,76,91,76,66,87,15,11
Fábio Henrique Tavares,Fabinho,"CDM, CB",86,88,73500000,165000,27,188,78,Liverpool,English Premier League,CDM,Brazil,,3,3,Medium/High,"#Tackling, #Tactician ",69,78,78,85,83,75,81,68,64,86,88,81,85,13,8
João Pedro Cavaco Cancelo,João Cancelo,"RB, LB",86,87,71500000,185000,27,182,74,Manchester City,English Premier League,LB,Portugal,RB,4,3,High/Medium,#Crosser,71,83,84,80,72,86,85,84,80,85,90,62,73,6,14
Aymeric Laporte,A. Laporte,CB,86,89,77000000,185000,27,191,85,Manchester City,English Premier League,LCB,Spain,LCB,2,3,Medium/Medium,"#Tackling, #Tactician ",50,72,69,86,80,58,78,67,57,87,72,84,81,10,5
Kingsley Junior Coman,K. Coman,"LM, RM, LW",86,87,81000000,120000,25,180,76,FC Bayern München,German 1. Bundesliga,SUB,France,SUB,4,4,Medium/Medium,"#Speedster, #Dribbler, #Acrobat",76,79,88,30,60,79,88,93,91,85,69,64,35,5,5
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,"CAM, CM, RW",86,87,80000000,200000,26,173,64,Manchester City,English Premier League,SUB,Portugal,RCM,4,2,High/High,"#Dribbler, #Engine, #Acrobat",76,83,91,54,67,85,90,77,94,84,93,54,70,9,9
Marcos Llorente Moreno,Marcos Llorente,"CM, RM, ST",86,89,88000000,95000,26,184,74,Atlético de Madrid,Spain Primera Division,RM,Spain,RB,3,3,High/Medium,#Playmaker ,80,81,82,78,82,74,84,90,82,86,90,79,83,13,15
Rodrigo Hernández Cascante,Rodri,CDM,86,89,81000000,175000,25,191,82,Manchester City,English Premier League,CDM,Spain,SUB,3,3,Medium/High,,70,77,78,82,82,63,82,62,65,80,87,82,76,10,8
Milan Škriniar,M. Škriniar,CB,86,88,74000000,150000,26,188,80,Inter,Italian Serie A,RCB,Slovakia,,2,3,Medium/High,#Tactician ,41,53,69,87,84,40,72,84,54,86,79,86,84,10,12
Alejandro Darío Gómez,A. Gómez,"CAM, CF, CM",85,85,33500000,51000,33,167,68,Sevilla FC,Spain Primera Division,LCM,Argentina,SUB,4,3,High/Medium,#Acrobat,78,84,87,39,55,83,86,83,93,86,75,44,56,8,6
Kasper Peter Schmeichel,K. Schmeichel,GK,85,85,9000000,115000,34,189,89,Leicester City,English Premier League,GK,Denmark,GK,1,2,Medium/Medium,,NA,NA,NA,NA,NA,18,40,51,61,82,34,64,35,84,90
Thiago Emiliano da Silva,Thiago Silva,CB,85,85,9500000,105000,36,183,79,Chelsea,English Premier League,SUB,Brazil,,2,4,Medium/High,#Tactician ,54,72,72,86,78,60,79,54,67,82,68,82,76,9,10
David Josué Jiménez Silva,David Silva,"CAM, CM",85,85,22000000,44000,35,173,67,Real Sociedad,Spain Primera Division,CAM,Spain,,4,4,High/Medium,"#Dribbler, #Playmaker, #Complete Midfielder",74,87,87,52,53,83,90,57,84,85,66,45,56,6,12
Yann Sommer,Y. Sommer,GK,85,85,26500000,40000,32,183,79,Borussia Mönchengladbach,German 1. Bundesliga,GK,Switzerland,,1,3,Medium/Medium,,NA,NA,NA,NA,NA,13,25,54,55,82,45,68,38,79,86
Edinson Roberto Cavani Gómez,E. Cavani,ST,85,85,26000000,190000,34,185,77,Manchester United,English Premier League,SUB,Uruguay,,3,4,High/High,,86,70,76,51,79,68,81,68,68,90,81,77,81,12,10
Eden Hazard,E. Hazard,LW,85,85,52000000,240000,30,175,74,Real Madrid CF,Spain Primera Division,LW,Belgium,LF,4,4,Medium/Medium,#Dribbler,80,82,88,35,63,77,88,82,87,79,77,61,54,11,8
Leonardo Bonucci,L. Bonucci,CB,85,85,17500000,110000,34,190,85,Juventus,Italian Serie A,RCB,Italy,RCB,2,3,Medium/High,"#Tactician, #Strength",58,69,72,86,80,44,79,68,59,82,65,86,82,2,4
Péter Gulácsi,P. Gulácsi,GK,85,85,28500000,87000,31,191,86,RB Leipzig,German 1. Bundesliga,GK,Hungary,GK,1,3,Medium/Medium,,NA,NA,NA,NA,NA,16,25,44,41,81,35,74,34,85,86
İlkay Gündoğan,İ. Gündoğan,"CM, CDM",85,85,51500000,185000,30,180,80,Manchester City,English Premier League,LCM,Germany,SUB,4,3,High/Medium,"#Dribbler, #Playmaker, #Complete Midfielder",80,85,86,73,72,78,89,65,77,86,74,73,70,11,13
Marco Reus,M. Reus,"CAM, CF",85,85,43000000,95000,32,180,71,Borussia Dortmund,German 1. Bundesliga,CAM,Germany,,4,4,High/Medium,,84,84,85,47,63,85,86,71,83,86,67,66,51,12,11
Kyle Walker,K. Walker,RB,85,85,39000000,170000,31,183,83,Manchester City,English Premier League,RB,England,RB,3,3,High/High,"#Speedster, #Engine",63,76,78,80,82,77,81,94,66,85,86,80,84,12,8
Pierre-Emerick Emiliano François Aubameyang,P. Aubameyang,"ST, LW, LM",85,85,43500000,145000,32,187,80,Arsenal,English Premier League,ST,Gabon,,4,3,Medium/Low,,85,75,80,35,69,76,81,91,77,86,79,74,43,6,9
Jorge Resurrección Merodio,Koke,"CM, CDM",85,85,52500000,90000,29,176,75,Atlético de Madrid,Spain Primera Division,RCM,Spain,RCM,3,3,Medium/Medium,#Playmaker ,75,85,81,79,80,85,83,69,73,88,93,75,79,14,13
Antoine Griezmann,A. Griezmann,"ST, LW, RW",85,85,53000000,220000,30,176,73,Atlético de Madrid,Spain Primera Division,LS,France,RW,4,4,Medium/Medium,#Acrobat,84,84,87,52,72,83,89,80,92,89,86,63,73,14,14
Stefan de Vrij,S. de Vrij,CB,85,85,45000000,145000,29,189,78,Inter,Italian Serie A,CB,Netherlands,RCB,2,3,Medium/High,"#Tackling, #Tactician ",41,64,70,87,79,49,75,74,61,85,80,79,77,8,13
Roberto Firmino Barbosa de Oliveira,Roberto Firmino,CF,85,85,54000000,185000,29,181,76,Liverpool,English Premier League,CF,Brazil,,5,3,High/High,"#Dribbler, #Engine",78,79,89,59,78,73,90,77,85,86,87,74,75,8,10
Memphis Depay,M. Depay,"CF, LW, CAM",85,86,63000000,220000,27,176,78,FC Barcelona,Spain Primera Division,LW,Netherlands,ST,5,3,High/Low,#Dribbler,83,82,84,30,79,84,85,83,80,83,79,83,72,8,10
Daniel Carvajal Ramos,Carvajal,RB,85,85,47500000,210000,29,173,73,Real Madrid CF,Spain Primera Division,RB,Spain,,3,3,High/Medium,,54,78,80,81,80,82,83,80,79,83,89,74,84,13,15
Luiz Frello Filho Jorge,Jorginho,"CM, CDM",85,85,52500000,170000,29,180,68,Chelsea,English Premier League,LCM,Italy,CM,3,2,Medium/Medium,#Playmaker ,67,86,81,73,73,75,87,50,77,82,87,66,79,14,8
Serge David Gnabry,S. Gnabry,"RM, LM, RW",85,86,64500000,110000,25,176,77,FC Bayern München,German 1. Bundesliga,RM,Germany,RM,4,4,High/Medium,"#Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",84,79,86,43,69,74,83,77,87,86,78,68,63,14,7
Sergej Milinković-Savić,S. Milinković-Savić,"CM, CDM, CAM",85,87,66000000,100000,26,191,76,Lazio,Italian Serie A,RCM,Serbia,,4,3,High/Medium,,79,80,81,79,86,64,86,70,62,83,91,87,79,7,7
Onyinye Wilfred Ndidi,W. Ndidi,"CDM, CM",85,88,66500000,120000,24,183,74,Leicester City,English Premier League,LDM,Nigeria,,3,1,Medium/High,"#Tackling, #Tactician ",62,69,74,87,83,53,77,68,69,88,90,78,87,13,13
Mikel Oyarzabal Ugarte,Oyarzabal,"LW, RW",85,89,77500000,57000,24,181,79,Real Sociedad,Spain Primera Division,LW,Spain,SUB,3,2,High/Medium,,82,81,84,41,63,82,85,81,83,81,82,57,52,10,11
Lautaro Javier Martínez,L. Martínez,ST,85,89,78000000,145000,23,174,72,Inter,Italian Serie A,LS,Argentina,ST,4,3,High/Medium,#Acrobat,81,72,85,48,84,56,85,83,86,89,80,84,86,11,13
Marcus Rashford,M. Rashford,"LM, ST",85,89,77500000,150000,23,186,70,Manchester United,English Premier League,SUB,England,SUB,5,3,High/Medium,#Dribbler,84,79,84,43,77,80,84,93,84,84,86,75,73,11,14
Achraf Hakimi Mouh,A. Hakimi,"RB, RWB",85,88,69500000,100000,22,181,73,Paris Saint-Germain,French Ligue 1,RB,Morocco,,3,2,High/Medium,"#Speedster, #Acrobat",71,78,83,76,78,86,83,95,86,84,91,73,75,10,8
Matthijs de Ligt,M. de Ligt,CB,85,90,75000000,81000,21,189,89,Juventus,Italian Serie A,LCB,Netherlands,SUB,2,3,Medium/High,#Strength,59,60,69,84,87,52,73,75,60,84,75,93,83,12,10
Zlatan Ibrahimović,Z. Ibrahimović,ST,84,84,14500000,51000,39,195,95,AC Milan,Italian Serie A,SUB,Sweden,SUB,5,5,Medium/Low,"#Poacher, #Aerial Threat, #Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward",87,78,79,34,77,72,86,66,71,83,52,87,84,13,12
Jesús Navas González,Jesús Navas,"RB, RM",84,84,13000000,30000,35,172,60,Sevilla FC,Spain Primera Division,RB,Spain,,4,2,High/Medium,,69,81,83,79,58,85,83,84,82,84,82,39,75,10,13
Gerard Piqué Bernabéu,Piqué,CB,84,84,13500000,175000,34,194,85,FC Barcelona,Spain Primera Division,LCB,Spain,,2,4,High/Medium,"#Aerial Threat, #Strength",61,71,68,85,78,57,80,64,57,85,63,86,79,10,8
Dries Mertens,D. Mertens,"CF, ST, CAM",84,84,20500000,105000,34,169,61,Napoli,Italian Serie A,SUB,Belgium,RF,4,3,High/Low,"#Dribbler, #Acrobat",82,80,88,34,50,73,88,80,93,80,66,37,59,7,4
Georginio Wijnaldum,G. Wijnaldum,"CM, CDM",84,84,40500000,115000,30,175,74,Paris Saint-Germain,French Ligue 1,RCM,Netherlands,RCM,4,3,High/High,#Engine,75,80,86,79,79,72,88,76,84,86,93,74,75,16,6
Jordan Henderson,J. Henderson,"CDM, CM",84,84,29500000,140000,31,182,80,Liverpool,English Premier League,RCM,England,SUB,3,3,High/High,#Engine,74,83,79,78,81,82,83,66,69,85,86,78,83,7,13
Fernando Francisco Reges,Fernando,"CDM, CM",84,84,21000000,43000,33,183,76,Sevilla FC,Spain Primera Division,CDM,Brazil,,3,2,Medium/Medium,,62,75,74,83,82,62,78,67,70,83,82,81,85,7,5
Kieran Trippier,K. Trippier,"RB, RWB, RM",84,84,36500000,74000,30,173,69,Atlético de Madrid,Spain Primera Division,SUB,England,SUB,3,2,Medium/Medium,#Crosser,63,82,77,80,72,86,82,73,73,81,87,64,73,11,10
Iago Aspas Juncal,Iago Aspas,"ST, RW",84,84,27000000,46000,33,176,67,RC Celta de Vigo,Spain Primera Division,RS,Spain,,3,2,High/High,"#Acrobat, #Clinical Finisher",85,79,86,35,63,80,86,86,90,84,69,60,63,12,13
David De Gea Quintana,De Gea,GK,84,84,28000000,120000,30,192,82,Manchester United,English Premier League,GK,Spain,SUB,1,4,Medium/Medium,,NA,NA,NA,NA,NA,17,38,58,63,83,43,55,38,86,87
David Olatukunbo Alaba,D. Alaba,"CB, LB",84,84,35500000,195000,29,180,78,Real Madrid CF,Spain Primera Division,LB,Austria,LB,3,4,Medium/Medium,,70,81,80,83,76,80,84,77,76,88,75,76,74,5,9
Luis Alberto Romero Alconchel,Luis Alberto,"CAM, CM, CF",84,84,42500000,95000,28,183,74,Lazio,Italian Serie A,LCM,Spain,,4,2,Medium/Medium,#Playmaker ,76,86,84,57,59,69,91,59,69,74,75,64,29,6,11
